dc_id,sku_id,target_doi
DC001,SKU001,3.0
DC001,SKU002,3.0
DC001,SKU003,3.0
DC001,SKU004,3.0
DC001,SKU005,3.0
DC001,SKU006,3.0
DC001,SKU007,3.0
DC001,SKU008,4.724983916572366
DC001,SKU009,3.0
DC001,SKU010,3.0
DC001,SKU011,3.0
DC001,SKU012,3.0
DC001,SKU013,5.2089760014626325
DC001,SKU014,3.0
DC001,SKU015,3.0
DC001,SKU016,3.0
DC001,SKU017,3.0
DC001,SKU018,3.0
DC001,SKU019,6.507218296032487
DC001,SKU020,3.0
DC001,SKU021,14.228362820651192
DC001,SKU022,3.0
DC001,SKU023,3.0
DC001,SKU024,3.0
DC001,SKU025,3.0
DC001,SKU026,3.0
DC001,SKU027,3.0
DC001,SKU028,3.0
DC001,SKU029,6.4753022025962
DC001,SKU030,4.799783180274381
DC001,SKU031,3.0
DC001,SKU032,3.0
DC001,SKU033,33.18207401775939
DC001,SKU034,3.0
DC001,SKU035,3.2081872135330505
DC001,SKU036,3.778504103748797
DC001,SKU037,4.009402578059539
DC001,SKU038,3.482956447225088
DC001,SKU039,16.0563707650087
DC001,SKU040,3.8587766823789424
DC001,SKU041,3.0
DC001,SKU042,3.0
DC001,SKU043,3.0
DC001,SKU044,4.271167900445051
DC001,SKU045,3.0
DC001,SKU046,3.0
DC001,SKU047,3.7418086316033112
DC001,SKU048,3.0
DC001,SKU049,4.939459704251903
DC001,SKU050,3.0
DC001,SKU051,9.401384889970302
DC001,SKU052,3.0
DC001,SKU053,5.216082291614631
DC001,SKU054,3.663391357900229
DC001,SKU055,3.0
DC001,SKU056,3.0
DC001,SKU057,3.0
DC001,SKU058,10.070307301447563
DC001,SKU059,3.0
DC001,SKU060,3.0
DC001,SKU061,3.0
DC001,SKU062,3.9502879756963183
DC001,SKU063,3.971626094479442
DC001,SKU064,3.515499083876258
DC001,SKU065,3.0
DC001,SKU066,7.816562959352588
DC001,SKU067,3.0
DC001,SKU068,3.1908128092622987
DC001,SKU069,3.0
DC001,SKU070,3.0
DC001,SKU071,3.0
DC001,SKU072,7.074505832546701
DC001,SKU073,4.208747315126527
DC001,SKU074,4.20039226540748
DC001,SKU075,3.0
DC001,SKU076,8.282738447189992
DC001,SKU077,3.0
DC001,SKU078,8.631097266360348
DC001,SKU079,4.132316987851209
DC001,SKU080,3.0
DC001,SKU081,3.0
DC001,SKU082,3.0
DC001,SKU083,3.9160487921748746
DC001,SKU084,3.0
DC001,SKU085,4.42916079266571
DC001,SKU086,3.0
DC001,SKU087,3.0
DC001,SKU088,3.0
DC001,SKU089,3.0
DC001,SKU090,3.0
DC001,SKU091,3.0
DC001,SKU092,3.0
DC001,SKU093,3.0
DC001,SKU094,3.0
DC001,SKU095,3.0
DC001,SKU096,3.0
DC001,SKU097,5.450784444959646
DC001,SKU098,3.046972215811733
DC001,SKU099,6.541340706865717
DC001,SKU100,4.837635858438875
DC001,SKU101,3.0
DC001,SKU102,3.0
DC001,SKU103,3.0
DC001,SKU104,3.0
DC002,SKU001,3.0
DC002,SKU002,3.0
DC002,SKU003,3.0
DC002,SKU004,3.0
DC002,SKU005,3.0
DC002,SKU006,3.0
DC002,SKU007,5.5885495748899645
DC002,SKU008,3.4680669243243214
DC002,SKU009,3.0
DC002,SKU010,4.8525220424743285
DC002,SKU011,3.0
DC002,SKU012,3.8757644777311233
DC002,SKU013,5.605782980576633
DC002,SKU014,3.0
DC002,SKU015,3.0
DC002,SKU016,3.0
DC002,SKU017,3.0
DC002,SKU018,3.0
DC002,SKU019,4.742513273953047
DC002,SKU020,3.0
DC002,SKU021,3.8553165853862175
DC002,SKU022,3.0
DC002,SKU023,3.0
DC002,SKU024,3.0
DC002,SKU025,3.0
DC002,SKU026,3.0
DC002,SKU027,2.742908965258726
DC002,SKU028,3.0
DC002,SKU029,8.769802985854895
DC002,SKU030,4.5780994265494295
DC002,SKU031,9.702465433388038
DC002,SKU032,3.0
