dc_id,sku_id,mean_sale
DC001,SKU001,0.0
DC001,SKU002,0.0
DC001,SKU003,0.0
DC001,SKU004,0.0
DC001,SKU005,0.0
DC001,SKU006,0.0
DC001,SKU007,0.75
DC001,SKU008,259.5
DC001,SKU009,0.0
DC001,SKU010,0.0
DC001,SKU011,0.0
DC001,SKU012,0.0
DC001,SKU013,17.75
DC001,SKU014,0.0
DC001,SKU015,0.0
DC001,SKU016,0.0
DC001,SKU017,0.0
DC001,SKU018,0.0
DC001,SKU019,45.25
DC001,SKU020,7.0
DC001,SKU021,4.5
DC001,SKU022,0.0
DC001,SKU023,0.0
DC001,SKU024,0.0
DC001,SKU025,0.0
DC001,SKU026,0.0
DC001,SKU027,0.0
DC001,SKU028,0.0
DC001,SKU029,6.0
DC001,SKU030,196.75
DC001,SKU031,0.0
DC001,SKU032,0.0
DC001,SKU033,66.5
DC001,SKU034,0.0
DC001,SKU035,32.0
DC001,SKU036,518.0
DC001,SKU037,640.25
DC001,SKU038,2764.5
DC001,SKU039,5.0
DC001,SKU040,1148.5
DC001,SKU041,0.0
DC001,SKU042,0.0
DC001,SKU043,0.0
DC001,SKU044,1679.75
DC001,SKU045,0.0
DC001,SKU046,0.0
DC001,SKU047,187.25
DC001,SKU048,0.0
DC001,SKU049,117.25
DC001,SKU050,0.0
DC001,SKU051,12.5
DC001,SKU052,0.0
DC001,SKU053,20.25
DC001,SKU054,34.25
DC001,SKU055,0.0
DC001,SKU056,0.0
DC001,SKU057,0.0
DC001,SKU058,20.0
DC001,SKU059,0.0
DC001,SKU060,0.0
DC001,SKU061,0.0
DC001,SKU062,378.0
DC001,SKU063,2558.5
DC001,SKU064,2162.25
DC001,SKU065,0.0
DC001,SKU066,7.5
DC001,SKU067,0.0
DC001,SKU068,19.0
DC001,SKU069,0.0
DC001,SKU070,0.0
DC001,SKU071,0.0
DC001,SKU072,91.25
DC001,SKU073,6.0
DC001,SKU074,114.75
DC001,SKU075,0.0
DC001,SKU076,3.5
DC001,SKU077,0.0
DC001,SKU078,2.0
DC001,SKU079,330.5
DC001,SKU080,0.0
DC001,SKU081,0.0
DC001,SKU082,0.0
DC001,SKU083,652.25
DC001,SKU084,0.0
DC001,SKU085,4.0
DC001,SKU086,0.0
DC001,SKU087,0.0
DC001,SKU088,0.0
DC001,SKU089,0.0
DC001,SKU090,0.0
DC001,SKU091,8.75
DC001,SKU092,69.0
DC001,SKU093,0.0
DC001,SKU094,0.0
DC001,SKU095,0.0
DC001,SKU096,0.0
DC001,SKU097,43.25
DC001,SKU098,3.0
DC001,SKU099,118.0
DC001,SKU100,245.75
DC001,SKU101,0.0
DC001,SKU102,0.0
DC001,SKU103,0.0
DC001,SKU104,0.0
DC002,SKU001,0.0
DC002,SKU002,0.0
DC002,SKU003,0.0
DC002,SKU004,0.0
DC002,SKU005,0.0
DC002,SKU006,0.0
DC002,SKU007,33.75
DC002,SKU008,693.75
DC002,SKU009,0.0
DC002,SKU010,363.5
DC002,SKU011,0.0
DC002,SKU012,300.75
DC002,SKU013,63.25
DC002,SKU014,0.0
DC002,SKU015,0.0
DC002,SKU016,0.0
DC002,SKU017,0.0
DC002,SKU018,0.0
DC002,SKU019,123.5
DC002,SKU020,8.0
DC002,SKU021,241.0
DC002,SKU022,0.0
DC002,SKU023,0.0
DC002,SKU024,0.0
DC002,SKU025,0.0
DC002,SKU026,0.0
DC002,SKU027,365.75
DC002,SKU028,0.0
DC002,SKU029,88.5
DC002,SKU030,282.75
DC002,SKU031,2.25
DC002,SKU032,0.0
DC002,SKU033,272.75
DC002,SKU034,0.0
DC002,SKU035,79.25
DC002,SKU036,1306.5
DC002,SKU037,2243.0
DC002,SKU038,7119.75
DC002,SKU039,35.25
DC002,SKU040,2411.25
DC002,SKU041,188.75
DC002,SKU042,0.0
DC002,SKU043,0.0
DC002,SKU044,2473.75
DC002,SKU045,43.25
DC002,SKU046,187.25
DC002,SKU047,274.5
DC002,SKU048,0.0
DC002,SKU049,165.0
DC002,SKU050,0.0
DC002,SKU051,54.5
DC002,SKU052,0.0
DC002,SKU053,79.75
DC002,SKU054,76.75
DC002,SKU055,0.0
DC002,SKU056,0.0
DC002,SKU057,0.0
DC002,SKU058,67.0
DC002,SKU059,0.0
DC002,SKU060,5.25
DC002,SKU061,0.0
DC002,SKU062,944.25
DC002,SKU063,8525.75
DC002,SKU064,4091.75
DC002,SKU065,1089.25
DC002,SKU066,48.5
DC002,SKU067,29.0
DC002,SKU068,35.5
DC002,SKU069,0.0
DC002,SKU070,16.0
DC002,SKU071,0.0
DC002,SKU072,178.0
DC002,SKU073,27.0
DC002,SKU074,201.0
DC002,SKU075,54.5
DC002,SKU076,85.25
DC002,SKU077,0.0
DC002,SKU078,8.0
DC002,SKU079,311.0
DC002,SKU080,0.0
DC002,SKU081,0.0
DC002,SKU082,0.0
DC002,SKU083,1349.0
DC002,SKU084,443.75
DC002,SKU085,23.0
DC002,SKU086,0.0
DC002,SKU087,0.0
DC002,SKU088,0.0
DC002,SKU089,0.0
DC002,SKU090,0.0
DC002,SKU091,227.0
DC002,SKU092,142.75
DC002,SKU093,0.0
DC002,SKU094,0.0
DC002,SKU095,0.0
DC002,SKU096,0.0
DC002,SKU097,44.25
DC002,SKU098,34.5
DC002,SKU099,401.75
DC002,SKU100,347.5
DC002,SKU101,160.0
DC002,SKU102,16.5
DC002,SKU103,0.0
DC002,SKU104,0.0
DC003,SKU001,0.0
DC003,SKU002,0.0
DC003,SKU003,0.0
DC003,SKU004,0.0
DC003,SKU005,0.0
DC003,SKU006,0.0
DC003,SKU007,0.25
DC003,SKU008,142.0
DC003,SKU009,0.0
DC003,SKU010,695.5
DC003,SKU011,0.0
DC003,SKU012,301.75
DC003,SKU013,13.75
DC003,SKU014,0.0
DC003,SKU015,0.0
DC003,SKU016,0.0
DC003,SKU017,0.0
DC003,SKU018,0.0
DC003,SKU019,8.25
DC003,SKU020,18.0
DC003,SKU021,41.0
DC003,SKU022,0.0
DC003,SKU023,0.0
DC003,SKU024,0.0
DC003,SKU025,0.0
DC003,SKU026,0.0
DC003,SKU027,268.5
DC003,SKU028,0.0
DC003,SKU029,0.0
DC003,SKU030,197.75
DC003,SKU031,0.0
DC003,SKU032,0.0
DC003,SKU033,70.5
DC003,SKU034,0.0
DC003,SKU035,171.25
DC003,SKU036,578.75
DC003,SKU037,526.25
DC003,SKU038,1582.5
DC003,SKU039,6.0
DC003,SKU040,475.0
DC003,SKU041,303.0
DC003,SKU042,0.0
DC003,SKU043,0.0
DC003,SKU044,1541.75
DC003,SKU045,55.25
DC003,SKU046,377.0
DC003,SKU047,59.5
